"NACCAGE","EDUC","SEX","RACE","sdpred","sd","EDUCCATsomecollege","EDUCCAThigherthancollege","SEX:NACCAGE","EDUCCATsomecollege:NACCAGE","EDUCCAThigherthancollege:NACCAGE","mean.adj","sd.adj"
65,10,0,0,2.20551423108697,2.20693389262864,0,0,0,0,0,7.93959118936682,2.20551423108697
66,10,0,0,2.2097378241889,2.20456751319977,0,0,0,0,0,7.89619979920058,2.2097378241889
67,10,0,0,2.21413978572908,2.20978410700065,0,0,0,0,0,7.85229882408752,2.21413978572908
68,10,0,0,2.21870409685937,2.21761899656066,0,0,0,0,0,7.80886563956686,2.21870409685937
69,10,0,0,2.22341473873165,2.22969484845566,0,0,0,0,0,7.76687762117783,2.22341473873165
70,10,0,0,2.22825569249779,2.23733693957653,0,0,0,0,0,7.72731214445963,2.22825569249779
71,10,0,0,2.23321093930967,2.22934519934625,0,0,0,0,0,7.6911465849515,2.23321093930967
72,10,0,0,2.23826423201986,2.23623414925707,0,0,0,0,0,7.65931097765399,2.23826423201986
73,10,0,0,2.24339548876612,2.24477127107357,0,0,0,0,0,7.6319401844575,2.24339548876612
74,10,0,0,2.24858144576475,2.24537541254664,0,0,0,0,0,7.60850925849494,2.24858144576475
75,10,0,0,2.25379874291825,2.24966321556023,0,0,0,0,0,7.5884732811095,2.25379874291825
76,10,0,0,2.25902402012913,2.26575048483421,0,0,0,0,0,7.57128733364434,2.25902402012913
77,10,0,0,2.26423391729991,2.27216138272183,0,0,0,0,0,7.55640649744265,2.26423391729991
78,10,0,0,2.26940507433309,2.27759510083782,0,0,0,0,0,7.5432858538476,2.26940507433309
79,10,0,0,2.2745141311312,2.28158044550373,0,0,0,0,0,7.53138048420236,2.2745141311312
80,10,0,0,2.27953929363627,2.26988404870263,0,0,0,0,0,7.52013887505712,2.27953929363627
81,10,0,0,2.28447415256273,2.27204317722192,0,0,0,0,0,7.50894472571568,2.28447415256273
82,10,0,0,2.28932103086143,2.30219880043383,0,0,0,0,0,7.49714496291611,2.28932103086143
83,10,0,0,2.29408235170977,2.30710352127273,0,0,0,0,0,7.48408609132972,2.29408235170977
84,10,0,0,2.29876053828512,2.32386310932722,0,0,0,0,0,7.46911461562783,2.29876053828512
85,10,0,0,2.30335801376487,2.32375385783604,0,0,0,0,0,7.45157704048176,2.30335801376487
86,10,0,0,2.30787720132642,2.31475548510932,0,0,0,0,0,7.43081987056282,2.30787720132642
87,10,0,0,2.31232052414715,2.29880494681109,0,0,0,0,0,7.40618961054233,2.31232052414715
88,10,0,0,2.31669102728982,2.3071237469351,0,0,0,0,0,7.37710334159898,2.31669102728982
89,10,0,0,2.32099559365613,2.3215881518554,0,0,0,0,0,7.34341369345006,2.32099559365613
90,10,0,0,2.32524256873005,2.31163278456885,0,0,0,0,0,7.30513928130243,2.32524256873005
91,10,0,0,2.32944030087465,2.32906935130989,0,0,0,0,0,7.26229904710606,2.32944030087465
92,10,0,0,2.333597138453,2.32998901818793,0,0,0,0,0,7.21491193281089,2.333597138453
93,10,0,0,2.33772142982818,2.27864934550031,0,0,0,0,0,7.16299688036689,2.33772142982818
94,10,0,0,2.34182152336325,2.31546928645371,0,0,0,0,0,7.10657283172401,2.34182152336325
95,10,0,0,2.34590576742129,2.29758452662226,0,0,0,0,0,7.0456587288322,2.34590576742129
40,11,0,0,2.14665895719347,2.5512982011844,0,0,0,0,0,8.48305676596705,2.14665895719347
41,11,0,0,2.14822935649391,2.50245883305887,0,0,0,0,0,8.48117999138737,2.14822935649391
42,11,0,0,2.14980860399272,2.4229134842202,0,0,0,0,0,8.47925310005341,2.14980860399272
43,11,0,0,2.15140171623627,2.44759842023381,0,0,0,0,0,8.4772496623709,2.15140171623627
44,11,0,0,2.15301370977092,2.36077666599947,0,0,0,0,0,8.47514324874555,2.15301370977092
45,11,0,0,2.15464960114305,2.32503833557731,0,0,0,0,0,8.47290742958312,2.15464960114305
46,11,0,0,2.15631440689902,2.15936629355589,0,0,0,0,0,8.47051577528931,2.15631440689902
47,11,0,0,2.1580131435852,2.22026298749994,0,0,0,0,0,8.46794185626987,2.1580131435852
48,11,0,0,2.15975083097082,2.12951268805299,0,0,0,0,0,8.46515907652615,2.15975083097082
49,11,0,0,2.16153412603854,2.09984661363091,0,0,0,0,0,8.46205630664066,2.16153412603854
50,11,0,0,2.16337398184489,2.16071220608098,0,0,0,0,0,8.45830060017353,2.16337398184489
51,11,0,0,2.16528204758436,2.13084876337825,0,0,0,0,0,8.45352306734147,2.16528204758436
52,11,0,0,2.16726997245148,2.1433163309267,0,0,0,0,0,8.44735481836116,2.16726997245148
53,11,0,0,2.16934940564075,2.12371085452136,0,0,0,0,0,8.43942696344932,2.16934940564075
54,11,0,0,2.17153199634668,2.10600964672668,0,0,0,0,0,8.42937061282262,2.17153199634668
55,11,0,0,2.17382939376379,2.14190922988873,0,0,0,0,0,8.41681687669777,2.17382939376379
56,11,0,0,2.17625324261668,2.12925049768678,0,0,0,0,0,8.40139842124766,2.17625324261668
57,11,0,0,2.17881479818976,2.16532524104055,0,0,0,0,0,8.38288347532841,2.17881479818976
58,11,0,0,2.18152462963749,2.16548585330182,0,0,0,0,0,8.36127910707165,2.18152462963749
59,11,0,0,2.18439323627212,2.17185509600428,0,0,0,0,0,8.33661669642452,2.18439323627212
60,11,0,0,2.18743111740589,2.19273872257046,0,0,0,0,0,8.30892762333416,2.18743111740589
61,11,0,0,2.19064877235105,2.1765537763653,0,0,0,0,0,8.27824326774768,2.19064877235105
62,11,0,0,2.19405670041984,2.16441423445719,0,0,0,0,0,8.24459500961222,2.19405670041984
63,11,0,0,2.1976654009245,2.19295504357603,0,0,0,0,0,8.20801422887492,2.1976654009245
64,11,0,0,2.2014850252714,2.20389417410365,0,0,0,0,0,8.1685447165038,2.2014850252714
65,11,0,0,2.20551423108697,2.20693389262864,0,0,0,0,0,8.1266402868236,2.20551423108697
66,11,0,0,2.2097378241889,2.20456751319977,0,0,0,0,0,8.08324889665736,2.2097378241889
67,11,0,0,2.21413978572908,2.20978410700065,0,0,0,0,0,8.0393479215443,2.21413978572908
68,11,0,0,2.21870409685937,2.21761899656066,0,0,0,0,0,7.99591473702364,2.21870409685937
69,11,0,0,2.22341473873165,2.22969484845566,0,0,0,0,0,7.95392671863461,2.22341473873165
70,11,0,0,2.22825569249779,2.23733693957653,0,0,0,0,0,7.91436124191641,2.22825569249779
71,11,0,0,2.23321093930967,2.22934519934625,0,0,0,0,0,7.87819568240828,2.23321093930967
72,11,0,0,2.23826423201986,2.23623414925707,0,0,0,0,0,7.84636007511077,2.23826423201986
73,11,0,0,2.24339548876612,2.24477127107357,0,0,0,0,0,7.81898928191428,2.24339548876612
74,11,0,0,2.24858144576475,2.24537541254664,0,0,0,0,0,7.79555835595172,2.24858144576475
75,11,0,0,2.25379874291825,2.24966321556023,0,0,0,0,0,7.77552237856627,2.25379874291825
76,11,0,0,2.25902402012913,2.26575048483421,0,0,0,0,0,7.75833643110112,2.25902402012913
77,11,0,0,2.26423391729991,2.27216138272183,0,0,0,0,0,7.74345559489943,2.26423391729991
78,11,0,0,2.26940507433309,2.27759510083782,0,0,0,0,0,7.73033495130437,2.26940507433309
79,11,0,0,2.2745141311312,2.28158044550373,0,0,0,0,0,7.71842958165913,2.2745141311312
80,11,0,0,2.27953929363627,2.26988404870263,0,0,0,0,0,7.7071879725139,2.27953929363627
81,11,0,0,2.28447415256273,2.27204317722192,0,0,0,0,0,7.69599382317245,2.28447415256273
82,11,0,0,2.28932103086143,2.30219880043383,0,0,0,0,0,7.68419406037288,2.28932103086143
83,11,0,0,2.29408235170977,2.30710352127273,0,0,0,0,0,7.6711351887865,2.29408235170977
84,11,0,0,2.29876053828512,2.32386310932722,0,0,0,0,0,7.65616371308461,2.29876053828512
85,11,0,0,2.30335801376487,2.32375385783604,0,0,0,0,0,7.63862613793854,2.30335801376487
86,11,0,0,2.30787720132642,2.31475548510932,0,0,0,0,0,7.6178689680196,2.30787720132642
87,11,0,0,2.31232052414715,2.29880494681109,0,0,0,0,0,7.5932387079991,2.31232052414715
88,11,0,0,2.31669102728982,2.3071237469351,0,0,0,0,0,7.56415243905575,2.31669102728982
89,11,0,0,2.32099559365613,2.3215881518554,0,0,0,0,0,7.53046279090683,2.32099559365613
90,11,0,0,2.32524256873005,2.31163278456885,0,0,0,0,0,7.49218837875921,2.32524256873005
91,11,0,0,2.32944030087465,2.32906935130989,0,0,0,0,0,7.44934814456283,2.32944030087465
92,11,0,0,2.333597138453,2.32998901818793,0,0,0,0,0,7.40196103026767,2.333597138453
93,11,0,0,2.33772142982818,2.27864934550031,0,0,0,0,0,7.35004597782367,2.33772142982818
94,11,0,0,2.34182152336325,2.31546928645371,0,0,0,0,0,7.29362192918078,2.34182152336325
95,11,0,0,2.34590576742129,2.29758452662226,0,0,0,0,0,7.23270782628898,2.34590576742129
40,12,0,0,2.14665895719347,2.5512982011844,0,0,0,0,0,8.67010586342383,2.14665895719347
41,12,0,0,2.14822935649391,2.50245883305887,0,0,0,0,0,8.66822908884415,2.14822935649391
42,12,0,0,2.14980860399272,2.4229134842202,0,0,0,0,0,8.66630219751019,2.14980860399272
43,12,0,0,2.15140171623627,2.44759842023381,0,0,0,0,0,8.66429875982767,2.15140171623627
44,12,0,0,2.15301370977092,2.36077666599947,0,0,0,0,0,8.66219234620233,2.15301370977092
45,12,0,0,2.15464960114305,2.32503833557731,0,0,0,0,0,8.65995652703989,2.15464960114305
46,12,0,0,2.15631440689902,2.15936629355589,0,0,0,0,0,8.65756487274609,2.15631440689902
47,12,0,0,2.1580131435852,2.22026298749994,0,0,0,0,0,8.65499095372665,2.1580131435852
48,12,0,0,2.15975083097082,2.12951268805299,0,0,0,0,0,8.65220817398293,2.15975083097082
49,12,0,0,2.16153412603854,2.09984661363091,0,0,0,0,0,8.64910540409744,2.16153412603854
50,12,0,0,2.16337398184489,2.16071220608098,0,0,0,0,0,8.6453496976303,2.16337398184489
51,12,0,0,2.16528204758436,2.13084876337825,0,0,0,0,0,8.64057216479824,2.16528204758436
52,12,0,0,2.16726997245148,2.1433163309267,0,0,0,0,0,8.63440391581794,2.16726997245148
53,12,0,0,2.16934940564075,2.12371085452136,0,0,0,0,0,8.62647606090609,2.16934940564075
54,12,0,0,2.17153199634668,2.10600964672668,0,0,0,0,0,8.6164197102794,2.17153199634668
55,12,0,0,2.17382939376379,2.14190922988873,0,0,0,0,0,8.60386597415455,2.17382939376379
56,12,0,0,2.17625324261668,2.12925049768678,0,0,0,0,0,8.58844751870443,2.17625324261668
57,12,0,0,2.17881479818976,2.16532524104055,0,0,0,0,0,8.56993257278518,2.17881479818976
58,12,0,0,2.18152462963749,2.16548585330182,0,0,0,0,0,8.54832820452843,2.18152462963749
59,12,0,0,2.18439323627212,2.17185509600428,0,0,0,0,0,8.5236657938813,2.18439323627212
60,12,0,0,2.18743111740589,2.19273872257046,0,0,0,0,0,8.49597672079093,2.18743111740589
61,12,0,0,2.19064877235105,2.1765537763653,0,0,0,0,0,8.46529236520445,2.19064877235105
62,12,0,0,2.19405670041984,2.16441423445719,0,0,0,0,0,8.431644107069,2.19405670041984
63,12,0,0,2.1976654009245,2.19295504357603,0,0,0,0,0,8.3950633263317,2.1976654009245
64,12,0,0,2.2014850252714,2.20389417410365,0,0,0,0,0,8.35559381396057,2.2014850252714
65,12,0,0,2.20551423108697,2.20693389262864,0,0,0,0,0,8.31368938428037,2.20551423108697
66,12,0,0,2.2097378241889,2.20456751319977,0,0,0,0,0,8.27029799411413,2.2097378241889
67,12,0,0,2.21413978572908,2.20978410700065,0,0,0,0,0,8.22639701900107,2.21413978572908
68,12,0,0,2.21870409685937,2.21761899656066,0,0,0,0,0,8.18296383448042,2.21870409685937
69,12,0,0,2.22341473873165,2.22969484845566,0,0,0,0,0,8.14097581609138,2.22341473873165
70,12,0,0,2.22825569249779,2.23733693957653,0,0,0,0,0,8.10141033937319,2.22825569249779
71,12,0,0,2.23321093930967,2.22934519934625,0,0,0,0,0,8.06524477986505,2.23321093930967
72,12,0,0,2.23826423201986,2.23623414925707,0,0,0,0,0,8.03340917256754,2.23826423201986
73,12,0,0,2.24339548876612,2.24477127107357,0,0,0,0,0,8.00603837937105,2.24339548876612
74,12,0,0,2.24858144576475,2.24537541254664,0,0,0,0,0,7.9826074534085,2.24858144576475
75,12,0,0,2.25379874291825,2.24966321556023,0,0,0,0,0,7.96257147602305,2.25379874291825
76,12,0,0,2.25902402012913,2.26575048483421,0,0,0,0,0,7.94538552855789,2.25902402012913
77,12,0,0,2.26423391729991,2.27216138272183,0,0,0,0,0,7.9305046923562,2.26423391729991
78,12,0,0,2.26940507433309,2.27759510083782,0,0,0,0,0,7.91738404876115,2.26940507433309
79,12,0,0,2.2745141311312,2.28158044550373,0,0,0,0,0,7.90547867911591,2.2745141311312
80,12,0,0,2.27953929363627,2.26988404870263,0,0,0,0,0,7.89423706997067,2.27953929363627
81,12,0,0,2.28447415256273,2.27204317722192,0,0,0,0,0,7.88304292062923,2.28447415256273
82,12,0,0,2.28932103086143,2.30219880043383,0,0,0,0,0,7.87124315782966,2.28932103086143
83,12,0,0,2.29408235170977,2.30710352127273,0,0,0,0,0,7.85818428624327,2.29408235170977
84,12,0,0,2.29876053828512,2.32386310932722,0,0,0,0,0,7.84321281054138,2.29876053828512
85,12,0,0,2.30335801376487,2.32375385783604,0,0,0,0,0,7.82567523539531,2.30335801376487
86,12,0,0,2.30787720132642,2.31475548510932,0,0,0,0,0,7.80491806547637,2.30787720132642
87,12,0,0,2.31232052414715,2.29880494681109,0,0,0,0,0,7.78028780545588,2.31232052414715
88,12,0,0,2.31669102728982,2.3071237469351,0,0,0,0,0,7.75120153651253,2.31669102728982
89,12,0,0,2.32099559365613,2.3215881518554,0,0,0,0,0,7.71751188836361,2.32099559365613
90,12,0,0,2.32524256873005,2.31163278456885,0,0,0,0,0,7.67923747621598,2.32524256873005
91,12,0,0,2.32944030087465,2.32906935130989,0,0,0,0,0,7.63639724201961,2.32944030087465
92,12,0,0,2.333597138453,2.32998901818793,0,0,0,0,0,7.58901012772444,2.333597138453
93,12,0,0,2.33772142982818,2.27864934550031,0,0,0,0,0,7.53709507528044,2.33772142982818
94,12,0,0,2.34182152336325,2.31546928645371,0,0,0,0,0,7.48067102663756,2.34182152336325
95,12,0,0,2.34590576742129,2.29758452662226,0,0,0,0,0,7.41975692374575,2.34590576742129
40,13,0,0,2.14665895719347,2.5512982011844,1,0,0,40,0,8.8571549608806,2.14665895719347
41,13,0,0,2.14822935649391,2.50245883305887,1,0,0,41,0,8.85527818630093,2.14822935649391
42,13,0,0,2.14980860399272,2.4229134842202,1,0,0,42,0,8.85335129496696,2.14980860399272
43,13,0,0,2.15140171623627,2.44759842023381,1,0,0,43,0,8.85134785728445,2.15140171623627
44,13,0,0,2.15301370977092,2.36077666599947,1,0,0,44,0,8.84924144365911,2.15301370977092
45,13,0,0,2.15464960114305,2.32503833557731,1,0,0,45,0,8.84700562449667,2.15464960114305
46,13,0,0,2.15631440689902,2.15936629355589,1,0,0,46,0,8.84461397020287,2.15631440689902
47,13,0,0,2.1580131435852,2.22026298749994,1,0,0,47,0,8.84204005118342,2.1580131435852
48,13,0,0,2.15975083097082,2.12951268805299,1,0,0,48,0,8.83925727143971,2.15975083097082
49,13,0,0,2.16153412603854,2.09984661363091,1,0,0,49,0,8.83615450155421,2.16153412603854
50,13,0,0,2.16337398184489,2.16071220608098,1,0,0,50,0,8.83239879508708,2.16337398184489
51,13,0,0,2.16528204758436,2.13084876337825,1,0,0,51,0,8.82762126225502,2.16528204758436
52,13,0,0,2.16726997245148,2.1433163309267,1,0,0,52,0,8.82145301327472,2.16726997245148
53,13,0,0,2.16934940564075,2.12371085452136,1,0,0,53,0,8.81352515836287,2.16934940564075
54,13,0,0,2.17153199634668,2.10600964672668,1,0,0,54,0,8.80346880773617,2.17153199634668
55,13,0,0,2.17382939376379,2.14190922988873,1,0,0,55,0,8.79091507161133,2.17382939376379
56,13,0,0,2.17625324261668,2.12925049768678,1,0,0,56,0,8.77549661616121,2.17625324261668
57,13,0,0,2.17881479818976,2.16532524104055,1,0,0,57,0,8.75698167024196,2.17881479818976
58,13,0,0,2.18152462963749,2.16548585330182,1,0,0,58,0,8.73537730198521,2.18152462963749
59,13,0,0,2.18439323627212,2.17185509600428,1,0,0,59,0,8.71071489133808,2.18439323627212
60,13,0,0,2.18743111740589,2.19273872257046,1,0,0,60,0,8.68302581824771,2.18743111740589
61,13,0,0,2.19064877235105,2.1765537763653,1,0,0,61,0,8.65234146266123,2.19064877235105
62,13,0,0,2.19405670041984,2.16441423445719,1,0,0,62,0,8.61869320452578,2.19405670041984
63,13,0,0,2.1976654009245,2.19295504357603,1,0,0,63,0,8.58211242378848,2.1976654009245
64,13,0,0,2.2014850252714,2.20389417410365,1,0,0,64,0,8.54264291141735,2.2014850252714
65,13,0,0,2.20551423108697,2.20693389262864,1,0,0,65,0,8.50073848173715,2.20551423108697
66,13,0,0,2.2097378241889,2.20456751319977,1,0,0,66,0,8.45734709157091,2.2097378241889
67,13,0,0,2.21413978572908,2.20978410700065,1,0,0,67,0,8.41344611645785,2.21413978572908
68,13,0,0,2.21870409685937,2.21761899656066,1,0,0,68,0,8.3700129319372,2.21870409685937
69,13,0,0,2.22341473873165,2.22969484845566,1,0,0,69,0,8.32802491354816,2.22341473873165
70,13,0,0,2.22825569249779,2.23733693957653,1,0,0,70,0,8.28845943682996,2.22825569249779
71,13,0,0,2.23321093930967,2.22934519934625,1,0,0,71,0,8.25229387732183,2.23321093930967
72,13,0,0,2.23826423201986,2.23623414925707,1,0,0,72,0,8.22045827002432,2.23826423201986
73,13,0,0,2.24339548876612,2.24477127107357,1,0,0,73,0,8.19308747682783,2.24339548876612
74,13,0,0,2.24858144576475,2.24537541254664,1,0,0,74,0,8.16965655086527,2.24858144576475
75,13,0,0,2.25379874291825,2.24966321556023,1,0,0,75,0,8.14962057347983,2.25379874291825
76,13,0,0,2.25902402012913,2.26575048483421,1,0,0,76,0,8.13243462601467,2.25902402012913
77,13,0,0,2.26423391729991,2.27216138272183,1,0,0,77,0,8.11755378981298,2.26423391729991
78,13,0,0,2.26940507433309,2.27759510083782,1,0,0,78,0,8.10443314621793,2.26940507433309
79,13,0,0,2.2745141311312,2.28158044550373,1,0,0,79,0,8.09252777657269,2.2745141311312
