NACCAGE,EDUC,SEX,RACE,model,RACE_model,mean.adj,sd.adj,mean.adj.ori,sd.adj.ori,,,,,
56,11,0,White,transformed,0,1.905606049,0.093951595,24.96799653,7.346324963,,,,,
57,11,0,White,transformed,0,1.91061307,0.093951595,25.2652225,7.462043777,,,,,
58,11,0,White,transformed,0,1.916276005,0.093951595,25.59153437,7.579341682,,,,,
59,11,0,White,transformed,0,1.922463886,0.093951595,25.94633906,7.698274862,,,,,
60,11,0,White,transformed,0,1.929045744,0.093951595,26.32904347,7.8188995,,,,,
61,11,0,White,transformed,0,1.935890611,0.093951595,26.73905452,7.941271779,,,,,
62,11,0,White,transformed,0,1.942867518,0.093951595,27.17577911,8.065447882,,,,,
63,11,0,White,transformed,0,1.949845498,0.093951595,27.63862415,8.191483993,,,,,
64,11,0,White,transformed,0,1.95669473,0.093951595,28.12684561,8.319438713,,,,,
65,11,0,White,transformed,0,1.963323341,0.093951595,28.63471231,8.449450534,,,,,
66,11,0,White,transformed,0,1.969685191,0.093951595,29.15048283,8.581754226,,,,,
67,11,0,White,transformed,0,1.975736862,0.093951595,29.66205794,8.716590295,,,,,
68,11,0,White,transformed,0,1.981434934,0.093951595,30.15733839,8.854199244,,,,,
69,11,0,White,transformed,0,1.986735991,0.093951595,30.62422494,8.994821576,,,,,
70,11,0,White,transformed,0,1.991596614,0.093951595,31.05061835,9.138697795,,,,,
71,11,0,White,transformed,0,1.995973383,0.093951595,31.42441937,9.286068405,,,,,
72,11,0,White,transformed,0,1.999829261,0.093951595,31.73473425,9.437192148,,,,,
73,11,0,White,transformed,0,2.003234352,0.093951595,31.99091751,9.592634115,,,,,
74,11,0,White,transformed,0,2.006347663,0.093951595,32.21912505,9.753213597,,,,,
75,11,0,White,transformed,0,2.009330895,0.093951595,32.44602134,9.919757576,,,,,
76,11,0,White,transformed,0,2.012345748,0.093951595,32.69827083,10.09309304,,,,,
77,11,0,White,transformed,0,2.015553921,0.093951595,33.00253798,10.27404697,,,,,
78,11,0,White,transformed,0,2.019117114,0.093951595,33.38548726,10.46344635,,,,,
79,11,0,White,transformed,0,2.023197026,0.093951595,33.87378314,10.66211816,,,,,
80,11,0,White,transformed,0,2.027935937,0.093951595,34.49028995,10.87082924,,,,,
