NACCAGE,EDUC,SEX,RACE,model,RACE_model,mean.adj,sd.adj,,
40,12,0,White,transformed,0,2.082761497,0.122524029,,
41,12,0,White,transformed,0,2.083175127,0.122524029,,
42,12,0,White,transformed,0,2.083613747,0.122524029,,
43,12,0,White,transformed,0,2.084092447,0.122524029,,
44,12,0,White,transformed,0,2.084626318,0.122524029,,
45,12,0,White,transformed,0,2.085230453,0.122524029,,
46,12,0,White,transformed,0,2.085919941,0.122524029,,
47,12,0,White,transformed,0,2.086709874,0.122524029,,
48,12,0,White,transformed,0,2.087615394,0.122524029,,
49,12,0,White,transformed,0,2.088677368,0.122524029,,
50,12,0,White,transformed,0,2.090004165,0.122524029,,
51,12,0,White,transformed,0,2.091715091,0.122524029,,
52,12,0,White,transformed,0,2.093929455,0.122524029,,
53,12,0,White,transformed,0,2.096766565,0.122524029,,
54,12,0,White,transformed,0,2.100345726,0.122524029,,
55,12,0,White,transformed,0,2.104786247,0.122524029,,
56,12,0,White,transformed,0,2.11020634,0.122524029,,
57,12,0,White,transformed,0,2.116628745,0.122524029,,
58,12,0,White,transformed,0,2.123908003,0.122524029,,
59,12,0,White,transformed,0,2.13188153,0.122524029,,
60,12,0,White,transformed,0,2.140386746,0.122524029,,
61,12,0,White,transformed,0,2.149261066,0.122524029,,
62,12,0,White,transformed,0,2.15834191,0.122524029,,
63,12,0,White,transformed,0,2.167466694,0.122524029,,
64,12,0,White,transformed,0,2.17647405,0.122524029,,
65,12,0,White,transformed,0,2.185242695,0.122524029,,
66,12,0,White,transformed,0,2.193699656,0.122524029,,
67,12,0,White,transformed,0,2.201774836,0.122524029,,
68,12,0,White,transformed,0,2.20939814,0.122524029,,
69,12,0,White,transformed,0,2.21649947,0.122524029,,
70,12,0,White,transformed,0,2.22300873,0.122524029,,
71,12,0,White,transformed,0,2.228855823,0.122524029,,
72,12,0,White,transformed,0,2.233979338,0.122524029,,
73,12,0,White,transformed,0,2.238463759,0.122524029,,
74,12,0,White,transformed,0,2.242514626,0.122524029,,
75,12,0,White,transformed,0,2.246341146,0.122524029,,
76,12,0,White,transformed,0,2.250152525,0.122524029,,
77,12,0,White,transformed,0,2.254157967,0.122524029,,
78,12,0,White,transformed,0,2.258566678,0.122524029,,
79,12,0,White,transformed,0,2.263587865,0.122524029,,
80,12,0,White,transformed,0,2.269407665,0.122524029,,
81,12,0,White,transformed,0,2.275985608,0.122524029,,
82,12,0,White,transformed,0,2.283152604,0.122524029,,
83,12,0,White,transformed,0,2.290738084,0.122524029,,
84,12,0,White,transformed,0,2.29857148,0.122524029,,
85,12,0,White,transformed,0,2.306482226,0.122524029,,
86,12,0,White,transformed,0,2.314299752,0.122524029,,
87,12,0,White,transformed,0,2.321853493,0.122524029,,
88,12,0,White,transformed,0,2.329035589,0.122524029,,
89,12,0,White,transformed,0,2.336125189,0.122524029,,
90,12,0,White,transformed,0,2.343548925,0.122524029,,
91,12,0,White,transformed,0,2.351733719,0.122524029,,
92,12,0,White,transformed,0,2.361106494,0.122524029,,
93,12,0,White,transformed,0,2.372094173,0.122524029,,
94,12,0,White,transformed,0,2.385123678,0.122524029,,
95,12,0,White,transformed,0,2.400621932,0.122524029,,
40,13,0,White,transformed,0,2.078782112,0.122524029,,
41,13,0,White,transformed,0,2.079195743,0.122524029,,
42,13,0,White,transformed,0,2.079634363,0.122524029,,
43,13,0,White,transformed,0,2.080113063,0.122524029,,
44,13,0,White,transformed,0,2.080646934,0.122524029,,
45,13,0,White,transformed,0,2.081251069,0.122524029,,
46,13,0,White,transformed,0,2.081940557,0.122524029,,
47,13,0,White,transformed,0,2.08273049,0.122524029,,
48,13,0,White,transformed,0,2.08363601,0.122524029,,
49,13,0,White,transformed,0,2.084697984,0.122524029,,
50,13,0,White,transformed,0,2.08602478,0.122524029,,
51,13,0,White,transformed,0,2.087735707,0.122524029,,
52,13,0,White,transformed,0,2.089950071,0.122524029,,
53,13,0,White,transformed,0,2.092787181,0.122524029,,
54,13,0,White,transformed,0,2.096366342,0.122524029,,
55,13,0,White,transformed,0,2.100806863,0.122524029,,
56,13,0,White,transformed,0,2.106226956,0.122524029,,
57,13,0,White,transformed,0,2.112649361,0.122524029,,
58,13,0,White,transformed,0,2.119928619,0.122524029,,
59,13,0,White,transformed,0,2.127902146,0.122524029,,
60,13,0,White,transformed,0,2.136407361,0.122524029,,
61,13,0,White,transformed,0,2.145281682,0.122524029,,
62,13,0,White,transformed,0,2.154362525,0.122524029,,
63,13,0,White,transformed,0,2.16348731,0.122524029,,
64,13,0,White,transformed,0,2.172494666,0.122524029,,
65,13,0,White,transformed,0,2.18126331,0.122524029,,
66,13,0,White,transformed,0,2.189720271,0.122524029,,
67,13,0,White,transformed,0,2.197795452,0.122524029,,
68,13,0,White,transformed,0,2.205418756,0.122524029,,
69,13,0,White,transformed,0,2.212520086,0.122524029,,
70,13,0,White,transformed,0,2.219029346,0.122524029,,
71,13,0,White,transformed,0,2.224876438,0.122524029,,
72,13,0,White,transformed,0,2.229999954,0.122524029,,
73,13,0,White,transformed,0,2.234484375,0.122524029,,
74,13,0,White,transformed,0,2.238535242,0.122524029,,
75,13,0,White,transformed,0,2.242361762,0.122524029,,
76,13,0,White,transformed,0,2.246173141,0.122524029,,
77,13,0,White,transformed,0,2.250178583,0.122524029,,
78,13,0,White,transformed,0,2.254587294,0.122524029,,
79,13,0,White,transformed,0,2.25960848,0.122524029,,
80,13,0,White,transformed,0,2.265428281,0.122524029,,
81,13,0,White,transformed,0,2.272006224,0.122524029,,
82,13,0,White,transformed,0,2.27917322,0.122524029,,
83,13,0,White,transformed,0,2.2867587,0.122524029,,
84,13,0,White,transformed,0,2.294592096,0.122524029,,
85,13,0,White,transformed,0,2.302502841,0.122524029,,
86,13,0,White,transformed,0,2.310320368,0.122524029,,
87,13,0,White,transformed,0,2.317874109,0.122524029,,
88,13,0,White,transformed,0,2.325056205,0.122524029,,
89,13,0,White,transformed,0,2.332145805,0.122524029,,
90,13,0,White,transformed,0,2.339569541,0.122524029,,
91,13,0,White,transformed,0,2.347754335,0.122524029,,
92,13,0,White,transformed,0,2.35712711,0.122524029,,
93,13,0,White,transformed,0,2.368114788,0.122524029,,
94,13,0,White,transformed,0,2.381144294,0.122524029,,
95,13,0,White,transformed,0,2.396642548,0.122524029,,
40,14,0,White,transformed,0,2.074802728,0.122524029,,
41,14,0,White,transformed,0,2.075216359,0.122524029,,
42,14,0,White,transformed,0,2.075654979,0.122524029,,
43,14,0,White,transformed,0,2.076133679,0.122524029,,
44,14,0,White,transformed,0,2.07666755,0.122524029,,
45,14,0,White,transformed,0,2.077271685,0.122524029,,
46,14,0,White,transformed,0,2.077961173,0.122524029,,
47,14,0,White,transformed,0,2.078751106,0.122524029,,
48,14,0,White,transformed,0,2.079656626,0.122524029,,
49,14,0,White,transformed,0,2.0807186,0.122524029,,
50,14,0,White,transformed,0,2.082045396,0.122524029,,
51,14,0,White,transformed,0,2.083756323,0.122524029,,
52,14,0,White,transformed,0,2.085970687,0.122524029,,
53,14,0,White,transformed,0,2.088807796,0.122524029,,
54,14,0,White,transformed,0,2.092386958,0.122524029,,
55,14,0,White,transformed,0,2.096827479,0.122524029,,
56,14,0,White,transformed,0,2.102247571,0.122524029,,
57,14,0,White,transformed,0,2.108669977,0.122524029,,
58,14,0,White,transformed,0,2.115949235,0.122524029,,
59,14,0,White,transformed,0,2.123922762,0.122524029,,
60,14,0,White,transformed,0,2.132427977,0.122524029,,
61,14,0,White,transformed,0,2.141302298,0.122524029,,
