"NACCAGE","EDUC","SEX","RACE","mean.adj","sd.adj"
21,10,0,"White",34.5362063655278,2.59849078231117
22,10,0,"White",34.4446593334544,2.67189483708626
23,10,0,"White",34.3453161836942,2.74334615760814
24,10,0,"White",34.2388996043246,2.81089200962361
25,10,0,"White",34.1261105468609,2.87257965887948
26,10,0,"White",34.0076282262568,2.92645637112253
27,10,0,"White",33.8841101209043,2.97056941209957
28,10,0,"White",33.7561919726336,3.00296604755739
29,10,0,"White",33.624487786713,3.02169354324279
30,10,0,"White",33.4895898318492,3.02480052671015
31,10,0,"White",33.3520686401872,3.01169198587611
32,10,0,"White",33.2124730073099,2.98567448741007
33,10,0,"White",33.0713299922389,2.95075184346886
34,10,0,"White",32.9291449174336,2.91092786620933
35,10,0,"White",32.786401368792,2.87020636778829
36,10,0,"White",32.6435611956501,2.83259116036258
37,10,0,"White",32.5010645107822,2.80208605608903
38,10,0,"White",32.359329690401,2.78269486712447
39,10,0,"White",32.2187533741571,2.77840382614194
40,10,0,"White",32.0797104651397,2.79034469713562
41,10,0,"White",31.9425541298761,2.81366342987235
42,10,0,"White",31.8076157983317,2.84275225375189
43,10,0,"White",31.6752051639102,2.87200339817397
44,10,0,"White",31.5456101834538,2.89580909253835
45,10,0,"White",31.4190970772427,2.90856156624479
46,10,0,"White",31.2959103289952,2.90465304869302
47,10,0,"White",31.1762726858681,2.87847576928281
48,10,0,"White",31.0603851584565,2.82449367354423
49,10,0,"White",30.9484270207934,2.74147367482704
50,10,0,"White",30.8405558103503,2.63485228660147
51,10,0,"White",30.7369073280368,2.5106397513804
52,10,0,"White",30.6375956382009,2.37484631167669
53,10,0,"White",30.5427130686288,2.23348221000321
54,10,0,"White",30.4523302105447,2.09255768887284
55,10,0,"White",30.3664959186114,1.95808299079843
56,10,0,"White",30.2852373109297,1.83606835829286
57,10,0,"White",30.2085597690387,1.73240465411971
58,10,0,"White",30.1364469379157,1.64936217708391
59,10,0,"White",30.0688607259764,1.58502547353122
60,10,0,"White",30.0057413050745,1.53724592623459
61,10,0,"White",29.9470071105021,1.50387491796697
62,10,0,"White",29.8925548409895,1.4827638315013
63,10,0,"White",29.8421443677946,1.47176404961053
64,10,0,"White",29.7941327346854,1.46872695506761
65,10,0,"White",29.7442081579228,1.47150393064549
66,10,0,"White",29.6852749353497,1.47801922372583
67,10,0,"White",29.6074534463914,1.48750514714612
68,10,0,"White",29.4985833250739,1.50032545538808
69,10,0,"White",29.3497583632329,1.51688120961311
70,10,0,"White",29.1608614137218,1.53757347098261
71,10,0,"White",28.9406382110698,1.56280330065798
72,10,0,"White",28.7019744955163,1.59297175980061
73,10,0,"White",28.4571731370438,1.6284799095719
74,10,0,"White",28.2175247830181,1.66972881113326
75,10,0,"White",27.9931022957609,1.71708439265379
76,10,0,"White",27.7904995658581,1.77050416126744
77,10,0,"White",27.6105703254668,1.82968212666604
78,10,0,"White",27.4485185705159,1.89430790691743
79,10,0,"White",27.2971543915985,1.96407112008942
80,10,0,"White",27.1501498048654,2.03866138424985
81,10,0,"White",27.0023347366516,2.11776831746653
82,10,0,"White",26.849697023476,2.20108153780728
83,10,0,"White",26.6893417659481,2.28829066333993
84,10,0,"White",26.5190442217368,2.37916061814893
85,10,0,"White",26.3368026985397,2.47405438343034
86,10,0,"White",26.1407979079889,2.57362013721868
87,10,0,"White",25.9293929656515,2.67850781395704
88,10,0,"White",25.7011333910292,2.78936734808851
89,10,0,"White",25.4547471075588,2.90684867405615
90,10,0,"White",25.1891444426115,3.03160172630306
91,10,0,"White",24.9034181274935,3.1642764392723
92,10,0,"White",24.5968432974459,3.30552274740698
93,10,0,"White",24.2688774916444,3.45579212010198
94,10,0,"White",23.9191606531994,3.61442547526189
95,10,0,"White",23.5475151291564,3.78037765425228
96,10,0,"White",23.1539456704955,3.95260311081164
97,10,0,"White",22.7386394321315,4.13005629867847
98,10,0,"White",22.3019659729142,4.31169167159129
99,10,0,"White",21.8444772556281,4.49646368328859
100,10,0,"White",21.3669076469924,4.68332678750888
101,10,0,"White",20.8701739176612,4.87123543799067
21,11,0,"White",34.5362063655278,2.59849078231117
22,11,0,"White",34.4446593334544,2.67189483708626
23,11,0,"White",34.3453161836942,2.74334615760814
24,11,0,"White",34.2388996043246,2.81089200962361
25,11,0,"White",34.1261105468609,2.87257965887948
26,11,0,"White",34.0076282262568,2.92645637112253
27,11,0,"White",33.8841101209043,2.97056941209957
28,11,0,"White",33.7561919726336,3.00296604755739
29,11,0,"White",33.624487786713,3.02169354324279
30,11,0,"White",33.4895898318492,3.02480052671015
31,11,0,"White",33.3520686401872,3.01169198587611
32,11,0,"White",33.2124730073099,2.98567448741007
33,11,0,"White",33.0713299922389,2.95075184346886
34,11,0,"White",32.9291449174336,2.91092786620933
35,11,0,"White",32.786401368792,2.87020636778829
36,11,0,"White",32.6435611956501,2.83259116036258
37,11,0,"White",32.5010645107822,2.80208605608903
38,11,0,"White",32.359329690401,2.78269486712447
39,11,0,"White",32.2187533741571,2.77840382614194
40,11,0,"White",32.0797104651397,2.79034469713562
41,11,0,"White",31.9425541298761,2.81366342987235
42,11,0,"White",31.8076157983317,2.84275225375189
43,11,0,"White",31.6752051639102,2.87200339817397
44,11,0,"White",31.5456101834538,2.89580909253835
