NACCAGE,EDUC,SEX,RACE,model,RACE_model,mean.adj,sd.adj,,
40,12,0,White,transformed,0,2.290470229,0.09132112,,
41,12,0,White,transformed,0,2.291354087,0.091356017,,
42,12,0,White,transformed,0,2.29225347,0.091390969,,
43,12,0,White,transformed,0,2.293176278,0.091426012,,
44,12,0,White,transformed,0,2.29413041,0.091461181,,
45,12,0,White,transformed,0,2.295123766,0.091496511,,
46,12,0,White,transformed,0,2.296164246,0.091532038,,
47,12,0,White,transformed,0,2.297259751,0.091567797,,
48,12,0,White,transformed,0,2.298418218,0.091603823,,
49,12,0,White,transformed,0,2.29966762,0.091640183,,
50,12,0,White,transformed,0,2.301088489,0.091677026,,
51,12,0,White,transformed,0,2.302769876,0.091714514,,
52,12,0,White,transformed,0,2.304800832,0.09175281,,
53,12,0,White,transformed,0,2.307270407,0.091792076,,
54,12,0,White,transformed,0,2.310267653,0.091832475,,
55,12,0,White,transformed,0,2.31388162,0.09187417,,
56,12,0,White,transformed,0,2.318200505,0.091917324,,
57,12,0,White,transformed,0,2.323238121,0.091962291,,
58,12,0,White,transformed,0,2.328877225,0.092009752,,
59,12,0,White,transformed,0,2.334987235,0.092060423,,
60,12,0,White,transformed,0,2.34143757,0.092115019,,
61,12,0,White,transformed,0,2.348097648,0.092174258,,
62,12,0,White,transformed,0,2.354836887,0.092238855,,
63,12,0,White,transformed,0,2.361524705,0.092309525,,
64,12,0,White,transformed,0,2.368032359,0.092387012,,
65,12,0,White,transformed,0,2.374291868,0.092472974,,
66,12,0,White,transformed,0,2.380308477,0.092570171,,
67,12,0,White,transformed,0,2.38609179,0.092681428,,
68,12,0,White,transformed,0,2.391651414,0.092809569,,
69,12,0,White,transformed,0,2.396996951,0.092957421,,
70,12,0,White,transformed,0,2.402138008,0.093127809,,
71,12,0,White,transformed,0,2.40708419,0.093323558,,
72,12,0,White,transformed,0,2.411845832,0.0935474,,
73,12,0,White,transformed,0,2.416445578,0.093800515,,
74,12,0,White,transformed,0,2.42091628,0.09408279,,
75,12,0,White,transformed,0,2.425291099,0.094394077,,
76,12,0,White,transformed,0,2.429603196,0.094734225,,
77,12,0,White,transformed,0,2.433885732,0.095103085,,
78,12,0,White,transformed,0,2.438171869,0.095500505,,
79,12,0,White,transformed,0,2.442494768,0.095926336,,
80,12,0,White,transformed,0,2.446887308,0.096380041,,
81,12,0,White,transformed,0,2.451379615,0.096857279,,
82,12,0,White,transformed,0,2.456000248,0.097351548,,
83,12,0,White,transformed,0,2.460777747,0.097856323,,
84,12,0,White,transformed,0,2.465740654,0.098365078,,
85,12,0,White,transformed,0,2.470917511,0.098871288,,
86,12,0,White,transformed,0,2.476336858,0.099368427,,
87,12,0,White,transformed,0,2.482027236,0.099849971,,
88,12,0,White,transformed,0,2.488016474,0.100310344,,
89,12,0,White,transformed,0,2.494327989,0.100749851,,
90,12,0,White,transformed,0,2.500983521,0.101171034,,
91,12,0,White,transformed,0,2.508004804,0.10157644,,
92,12,0,White,transformed,0,2.515413574,0.101968616,,
93,12,0,White,transformed,0,2.523231567,0.102350109,,
94,12,0,White,transformed,0,2.531480517,0.102723466,,
95,12,0,White,transformed,0,2.540182161,0.103091233,,
40,13,0,White,transformed,0,2.283944156,0.09132112,,
41,13,0,White,transformed,0,2.284828014,0.091356017,,
42,13,0,White,transformed,0,2.285727397,0.091390969,,
43,13,0,White,transformed,0,2.286650205,0.091426012,,
44,13,0,White,transformed,0,2.287604336,0.091461181,,
45,13,0,White,transformed,0,2.288597693,0.091496511,,
46,13,0,White,transformed,0,2.289638173,0.091532038,,
47,13,0,White,transformed,0,2.290733677,0.091567797,,
48,13,0,White,transformed,0,2.291892145,0.091603823,,
49,13,0,White,transformed,0,2.293141546,0.091640183,,
50,13,0,White,transformed,0,2.294562415,0.091677026,,
51,13,0,White,transformed,0,2.296243802,0.091714514,,
52,13,0,White,transformed,0,2.298274758,0.09175281,,
53,13,0,White,transformed,0,2.300744334,0.091792076,,
54,13,0,White,transformed,0,2.30374158,0.091832475,,
55,13,0,White,transformed,0,2.307355547,0.09187417,,
56,13,0,White,transformed,0,2.311674432,0.091917324,,
57,13,0,White,transformed,0,2.316712047,0.091962291,,
58,13,0,White,transformed,0,2.322351151,0.092009752,,
59,13,0,White,transformed,0,2.328461162,0.092060423,,
60,13,0,White,transformed,0,2.334911497,0.092115019,,
61,13,0,White,transformed,0,2.341571575,0.092174258,,
62,13,0,White,transformed,0,2.348310814,0.092238855,,
63,13,0,White,transformed,0,2.354998632,0.092309525,,
64,13,0,White,transformed,0,2.361506286,0.092387012,,
65,13,0,White,transformed,0,2.367765795,0.092472974,,
66,13,0,White,transformed,0,2.373782403,0.092570171,,
67,13,0,White,transformed,0,2.379565717,0.092681428,,
68,13,0,White,transformed,0,2.38512534,0.092809569,,
69,13,0,White,transformed,0,2.390470878,0.092957421,,
70,13,0,White,transformed,0,2.395611935,0.093127809,,
71,13,0,White,transformed,0,2.400558116,0.093323558,,
72,13,0,White,transformed,0,2.405319759,0.0935474,,
73,13,0,White,transformed,0,2.409919505,0.093800515,,
74,13,0,White,transformed,0,2.414390207,0.09408279,,
75,13,0,White,transformed,0,2.418765026,0.094394077,,
76,13,0,White,transformed,0,2.423077123,0.094734225,,
77,13,0,White,transformed,0,2.427359659,0.095103085,,
78,13,0,White,transformed,0,2.431645796,0.095500505,,
79,13,0,White,transformed,0,2.435968694,0.095926336,,
80,13,0,White,transformed,0,2.440361235,0.096380041,,
81,13,0,White,transformed,0,2.444853542,0.096857279,,
82,13,0,White,transformed,0,2.449474174,0.097351548,,
83,13,0,White,transformed,0,2.454251673,0.097856323,,
84,13,0,White,transformed,0,2.459214581,0.098365078,,
85,13,0,White,transformed,0,2.464391437,0.098871288,,
86,13,0,White,transformed,0,2.469810784,0.099368427,,
87,13,0,White,transformed,0,2.475501163,0.099849971,,
88,13,0,White,transformed,0,2.481490401,0.100310344,,
89,13,0,White,transformed,0,2.487801916,0.100749851,,
90,13,0,White,transformed,0,2.494457447,0.101171034,,
91,13,0,White,transformed,0,2.50147873,0.10157644,,
92,13,0,White,transformed,0,2.508887501,0.101968616,,
93,13,0,White,transformed,0,2.516705493,0.102350109,,
94,13,0,White,transformed,0,2.524954444,0.102723466,,
95,13,0,White,transformed,0,2.533656088,0.103091233,,
40,14,0,White,transformed,0,2.277418082,0.09132112,,
41,14,0,White,transformed,0,2.278301941,0.091356017,,
42,14,0,White,transformed,0,2.279201324,0.091390969,,
43,14,0,White,transformed,0,2.280124131,0.091426012,,
44,14,0,White,transformed,0,2.281078263,0.091461181,,
45,14,0,White,transformed,0,2.282071619,0.091496511,,
46,14,0,White,transformed,0,2.283112099,0.091532038,,
47,14,0,White,transformed,0,2.284207604,0.091567797,,
48,14,0,White,transformed,0,2.285366071,0.091603823,,
49,14,0,White,transformed,0,2.286615473,0.091640183,,
50,14,0,White,transformed,0,2.288036342,0.091677026,,
51,14,0,White,transformed,0,2.289717729,0.091714514,,
52,14,0,White,transformed,0,2.291748685,0.09175281,,
53,14,0,White,transformed,0,2.29421826,0.091792076,,
54,14,0,White,transformed,0,2.297215506,0.091832475,,
55,14,0,White,transformed,0,2.300829473,0.09187417,,
56,14,0,White,transformed,0,2.305148359,0.091917324,,
57,14,0,White,transformed,0,2.310185974,0.091962291,,
58,14,0,White,transformed,0,2.315825078,0.092009752,,
59,14,0,White,transformed,0,2.321935088,0.092060423,,
60,14,0,White,transformed,0,2.328385424,0.092115019,,
61,14,0,White,transformed,0,2.335045501,0.092174258,,
62,14,0,White,transformed,0,2.34178474,0.092238855,,
63,14,0,White,transformed,0,2.348472558,0.092309525,,
64,14,0,White,transformed,0,2.354980212,0.092387012,,
65,14,0,White,transformed,0,2.361239721,0.092472974,,
66,14,0,White,transformed,0,2.36725633,0.092570171,,
67,14,0,White,transformed,0,2.373039644,0.092681428,,
68,14,0,White,transformed,0,2.378599267,0.092809569,,
69,14,0,White,transformed,0,2.383944805,0.092957421,,
70,14,0,White,transformed,0,2.389085862,0.093127809,,
71,14,0,White,transformed,0,2.394032043,0.093323558,,
72,14,0,White,transformed,0,2.398793685,0.0935474,,
73,14,0,White,transformed,0,2.403393431,0.093800515,,
74,14,0,White,transformed,0,2.407864133,0.09408279,,
75,14,0,White,transformed,0,2.412238952,0.094394077,,
76,14,0,White,transformed,0,2.416551049,0.094734225,,
77,14,0,White,transformed,0,2.420833585,0.095103085,,
78,14,0,White,transformed,0,2.425119722,0.095500505,,
79,14,0,White,transformed,0,2.429442621,0.095926336,,
80,14,0,White,transformed,0,2.433835161,0.096380041,,
81,14,0,White,transformed,0,2.438327468,0.096857279,,
82,14,0,White,transformed,0,2.442948101,0.097351548,,
83,14,0,White,transformed,0,2.4477256,0.097856323,,
84,14,0,White,transformed,0,2.452688507,0.098365078,,
85,14,0,White,transformed,0,2.457865364,0.098871288,,
86,14,0,White,transformed,0,2.463284711,0.099368427,,
87,14,0,White,transformed,0,2.46897509,0.099849971,,
88,14,0,White,transformed,0,2.474964327,0.100310344,,
89,14,0,White,transformed,0,2.481275842,0.100749851,,
90,14,0,White,transformed,0,2.487931374,0.101171034,,
91,14,0,White,transformed,0,2.494952657,0.10157644,,
92,14,0,White,transformed,0,2.502361427,0.101968616,,
93,14,0,White,transformed,0,2.51017942,0.102350109,,
94,14,0,White,transformed,0,2.51842837,0.102723466,,
95,14,0,White,transformed,0,2.527130014,0.103091233,,
40,15,0,White,transformed,0,2.270892009,0.09132112,,
41,15,0,White,transformed,0,2.271775867,0.091356017,,
42,15,0,White,transformed,0,2.27267525,0.091390969,,
43,15,0,White,transformed,0,2.273598058,0.091426012,,
44,15,0,White,transformed,0,2.27455219,0.091461181,,
45,15,0,White,transformed,0,2.275545546,0.091496511,,
46,15,0,White,transformed,0,2.276586026,0.091532038,,
47,15,0,White,transformed,0,2.27768153,0.091567797,,
48,15,0,White,transformed,0,2.278839998,0.091603823,,
49,15,0,White,transformed,0,2.280089399,0.091640183,,
50,15,0,White,transformed,0,2.281510268,0.091677026,,
