"NACCAGE","EDUC","SEX","RACE","mean.adj","sd.adj"
74,10,0,"White",13.892546695947,1.21876798258588
75,10,0,"White",13.8096711746965,1.23607495822653
76,10,0,"White",13.7499137459895,1.25568999134814
77,10,0,"White",13.6989791538859,1.27780445024927
78,10,0,"White",13.6477664991957,1.30261403264548
79,10,0,"White",13.5906681033756,1.33031443625233
80,10,0,"White",13.5238683724255,1.36110135878537
81,10,0,"White",13.4451891481517,1.39517049796015
82,10,0,"White",13.3540897081669,1.43271755149221
83,10,0,"White",13.2515900034457,1.47393821709712
84,10,0,"White",13.1394262714342,1.51904573521742
85,10,0,"White",13.0192066491601,1.56839266521206
86,10,0,"White",12.8923344107878,1.62239800376471
87,10,0,"White",12.7600079676189,1.68148115671882
88,10,0,"White",12.6232208680914,1.74606152991784
89,10,0,"White",12.4827617977805,1.81655852920523
90,10,0,"White",12.3392145793982,1.89339156042446
91,10,0,"White",12.1929581727932,1.97698002941898
92,10,0,"White",12.0441666749511,2.06774334203224
93,10,0,"White",11.8928093199947,2.16595119017122
94,10,0,"White",11.7386504791832,2.27103551100049
95,10,0,"White",11.5812496609128,2.38213700129256
96,10,0,"White",11.4199615107169,2.49839606540987
97,10,0,"White",11.2539358112652,2.6189531077149
98,10,0,"White",11.0821174823647,2.74294853257009
99,10,0,"White",10.903246580959,2.8695227443379
100,10,0,"White",10.7158583011288,2.9978161473808
101,10,0,"White",10.5182829740915,3.12696914606124
21,11,0,"White",19.9110165944926,0.89315952318791
22,11,0,"White",19.7924088766067,0.933819549924378
23,11,0,"White",19.6744634519951,0.974694742919772
24,11,0,"White",19.5572072993209,1.01600026843302
25,11,0,"White",19.4406667174391,1.05795129272305
26,11,0,"White",19.3248673253963,1.10076298204879
27,11,0,"White",19.2098340624311,1.14465050266916
28,11,0,"White",19.0955911879739,1.18982902084309
29,11,0,"White",18.9821622816468,1.23651370282951
30,11,0,"White",18.8695702432637,1.28491948353107
31,11,0,"White",18.7578372928305,1.33503086700377
32,11,0,"White",18.6469849705447,1.38616952158508
33,11,0,"White",18.5370341367956,1.43753866120132
34,11,0,"White",18.4280049721646,1.48834149977882
35,11,0,"White",18.3199169774245,1.5377812512439
36,11,0,"White",18.2127889735403,1.5850611295229
37,11,0,"White",18.1066391016684,1.62938434854214
38,11,0,"White",18.0014848231574,1.66995412222795
39,11,0,"White",17.8973429195474,1.70597519386391
40,11,0,"White",17.7942294925706,1.73690063611652
41,11,0,"White",17.6921599641507,1.76270426779481
42,11,0,"White",17.5911490764034,1.78342547889976
43,11,0,"White",17.4912108916361,1.79910365943234
44,11,0,"White",17.3923587923482,1.80977819939353
45,11,0,"White",17.2946054812308,1.8154884887843
46,11,0,"White",17.1979629811666,1.81627391760564
47,11,0,"White",17.1024426352304,1.81217387585851
48,11,0,"White",17.0080551066887,1.80322923096373
49,11,0,"White",16.9148103789998,1.78956949553228
50,11,0,"White",16.8227177558138,1.7714615822199
51,11,0,"White",16.7317858609727,1.74918422304103
52,11,0,"White",16.6420226385102,1.72301615001009
53,11,0,"White",16.5534353526518,1.69323609514152
54,11,0,"White",16.4660305878148,1.66012279044976
55,11,0,"White",16.3798142486085,1.62395496794922
56,11,0,"White",16.2947915598338,1.58501135965436
57,11,0,"White",16.2109670664834,1.54358145095053
58,11,0,"White",16.128344633742,1.50028085680141
59,11,0,"White",16.0469274469858,1.4561022322395
60,11,0,"White",15.9667180117833,1.41205923497496
61,11,0,"White",15.8877181538942,1.36916552271793
62,11,0,"White",15.8099290192705,1.32843475317855
63,11,0,"White",15.733198619935,1.29088058406697
64,11,0,"White",15.6555448386527,1.25751667309335
65,11,0,"White",15.5714784336022,1.22935667796782
66,11,0,"White",15.471850584255,1.20737083717493
67,11,0,"White",15.3438528913751,1.19174992726112
68,11,0,"White",15.1720546841675,1.18201051103764
69,11,0,"White",14.9498133989084,1.1776469206722
70,11,0,"White",14.6906849575757,1.17815348833252
71,11,0,"White",14.4278707463842,1.18302454618633
72,11,0,"White",14.1967240010457,1.19175442640134
73,11,0,"White",14.0172561920289,1.20383746114528
74,11,0,"White",13.892546695947,1.21876798258588
75,11,0,"White",13.8096711746965,1.23607495822653
76,11,0,"White",13.7499137459895,1.25568999134814
77,11,0,"White",13.6989791538859,1.27780445024927
78,11,0,"White",13.6477664991957,1.30261403264548
79,11,0,"White",13.5906681033756,1.33031443625233
80,11,0,"White",13.5238683724255,1.36110135878537
81,11,0,"White",13.4451891481517,1.39517049796015
82,11,0,"White",13.3540897081669,1.43271755149221
83,11,0,"White",13.2515900034457,1.47393821709712
84,11,0,"White",13.1394262714342,1.51904573521742
85,11,0,"White",13.0192066491601,1.56839266521206
86,11,0,"White",12.8923344107878,1.62239800376471
87,11,0,"White",12.7600079676189,1.68148115671882
88,11,0,"White",12.6232208680914,1.74606152991784
89,11,0,"White",12.4827617977805,1.81655852920523
90,11,0,"White",12.3392145793982,1.89339156042446
91,11,0,"White",12.1929581727932,1.97698002941898
92,11,0,"White",12.0441666749511,2.06774334203224
93,11,0,"White",11.8928093199947,2.16595119017122
94,11,0,"White",11.7386504791832,2.27103551100049
95,11,0,"White",11.5812496609128,2.38213700129256
96,11,0,"White",11.4199615107169,2.49839606540987
97,11,0,"White",11.2539358112652,2.6189531077149
98,11,0,"White",11.0821174823647,2.74294853257009
99,11,0,"White",10.903246580959,2.8695227443379
100,11,0,"White",10.7158583011288,2.9978161473808
101,11,0,"White",10.5182829740915,3.12696914606124
21,12,0,"White",19.9110165944926,0.89315952318791
22,12,0,"White",19.7924088766067,0.933819549924378
23,12,0,"White",19.6744634519951,0.974694742919772
24,12,0,"White",19.5572072993209,1.01600026843302
25,12,0,"White",19.4406667174391,1.05795129272305
26,12,0,"White",19.3248673253963,1.10076298204879
27,12,0,"White",19.2098340624311,1.14465050266916
28,12,0,"White",19.0955911879739,1.18982902084309
29,12,0,"White",18.9821622816468,1.23651370282951
30,12,0,"White",18.8695702432637,1.28491948353107
31,12,0,"White",18.7578372928305,1.33503086700377
32,12,0,"White",18.6469849705447,1.38616952158508
33,12,0,"White",18.5370341367956,1.43753866120132
34,12,0,"White",18.4280049721646,1.48834149977882
35,12,0,"White",18.3199169774245,1.5377812512439
36,12,0,"White",18.2127889735403,1.5850611295229
37,12,0,"White",18.1066391016684,1.62938434854214
38,12,0,"White",18.0014848231574,1.66995412222795
39,12,0,"White",17.8973429195474,1.70597519386391
40,12,0,"White",17.7942294925706,1.73690063611652
41,12,0,"White",17.6921599641507,1.76270426779481
42,12,0,"White",17.5911490764034,1.78342547889976
43,12,0,"White",17.4912108916361,1.79910365943234
44,12,0,"White",17.3923587923482,1.80977819939353
45,12,0,"White",17.2946054812308,1.8154884887843
46,12,0,"White",17.1979629811666,1.81627391760564
47,12,0,"White",17.1024426352304,1.81217387585851
48,12,0,"White",17.0080551066887,1.80322923096373
49,12,0,"White",16.9148103789998,1.78956949553228
50,12,0,"White",16.8227177558138,1.7714615822199
51,12,0,"White",16.7317858609727,1.74918422304103
52,12,0,"White",16.6420226385102,1.72301615001009
53,12,0,"White",16.5534353526518,1.69323609514152
54,12,0,"White",16.4660305878148,1.66012279044976
55,12,0,"White",16.3798142486085,1.62395496794922
56,12,0,"White",16.2947915598338,1.58501135965436
57,12,0,"White",16.2109670664834,1.54358145095053
58,12,0,"White",16.128344633742,1.50028085680141
59,12,0,"White",16.0469274469858,1.4561022322395
60,12,0,"White",15.9667180117833,1.41205923497496
61,12,0,"White",15.8877181538942,1.36916552271793
62,12,0,"White",15.8099290192705,1.32843475317855
63,12,0,"White",15.733198619935,1.29088058406697
64,12,0,"White",15.6555448386527,1.25751667309335
65,12,0,"White",15.5714784336022,1.22935667796782
66,12,0,"White",15.471850584255,1.20737083717493
67,12,0,"White",15.3438528913751,1.19174992726112
68,12,0,"White",15.1720546841675,1.18201051103764
69,12,0,"White",14.9498133989084,1.1776469206722
70,12,0,"White",14.6906849575757,1.17815348833252
71,12,0,"White",14.4278707463842,1.18302454618633
72,12,0,"White",14.1967240010457,1.19175442640134
73,12,0,"White",14.0172561920289,1.20383746114528
74,12,0,"White",13.892546695947,1.21876798258588
75,12,0,"White",13.8096711746965,1.23607495822653
76,12,0,"White",13.7499137459895,1.25568999134814
77,12,0,"White",13.6989791538859,1.27780445024927
78,12,0,"White",13.6477664991957,1.30261403264548
79,12,0,"White",13.5906681033756,1.33031443625233
80,12,0,"White",13.5238683724255,1.36110135878537
81,12,0,"White",13.4451891481517,1.39517049796015
82,12,0,"White",13.3540897081669,1.43271755149221
83,12,0,"White",13.2515900034457,1.47393821709712
84,12,0,"White",13.1394262714342,1.51904573521742
85,12,0,"White",13.0192066491601,1.56839266521206
86,12,0,"White",12.8923344107878,1.62239800376471
87,12,0,"White",12.7600079676189,1.68148115671882
88,12,0,"White",12.6232208680914,1.74606152991784
89,12,0,"White",12.4827617977805,1.81655852920523
90,12,0,"White",12.3392145793982,1.89339156042446
91,12,0,"White",12.1929581727932,1.97698002941898
92,12,0,"White",12.0441666749511,2.06774334203224
93,12,0,"White",11.8928093199947,2.16595119017122
94,12,0,"White",11.7386504791832,2.27103551100049
95,12,0,"White",11.5812496609128,2.38213700129256
96,12,0,"White",11.4199615107169,2.49839606540987
97,12,0,"White",11.2539358112652,2.6189531077149
98,12,0,"White",11.0821174823647,2.74294853257009
99,12,0,"White",10.903246580959,2.8695227443379
100,12,0,"White",10.7158583011288,2.9978161473808
101,12,0,"White",10.5182829740915,3.12696914606124
21,13,0,"White",19.8856252943289,0.89315952318791
22,13,0,"White",19.7798510477094,0.933819549924378
23,13,0,"White",19.6747390943641,0.974694742919772
24,13,0,"White",19.5703164129563,1.01600026843302
25,13,0,"White",19.4666093023408,1.05795129272305
26,13,0,"White",19.3636433815644,1.10076298204879
27,13,0,"White",19.2614435898656,1.14465050266916
28,13,0,"White",19.1600341866748,1.18982902084309
29,13,0,"White",19.059438751614,1.23651370282951
30,13,0,"White",18.9596801844973,1.28491948353107
31,13,0,"White",18.8607807053305,1.33503086700377
32,13,0,"White",18.7627618543111,1.38616952158508
33,13,0,"White",18.6656444918284,1.43753866120132
34,13,0,"White",18.5694487984637,1.48834149977882
35,13,0,"White",18.4741942749901,1.5377812512439
36,13,0,"White",18.3798997423722,1.5850611295229
37,13,0,"White",18.2865833417667,1.62938434854214
38,13,0,"White",18.1942625345221,1.66995412222795
39,13,0,"White",18.1029541021785,1.70597519386391
40,13,0,"White",18.012674146468,1.73690063611652
41,13,0,"White",17.9234380893145,1.76270426779481
42,13,0,"White",17.8352606728336,1.78342547889976
43,13,0,"White",17.7481559593327,1.79910365943234
44,13,0,"White",17.6621373313112,1.80977819939353
45,13,0,"White",17.5772174914601,1.8154884887843
46,13,0,"White",17.4934084626623,1.81627391760564
47,13,0,"White",17.4107215879925,1.81217387585851
48,13,0,"White",17.3291675307171,1.80322923096373
49,13,0,"White",17.2487562742946,1.78956949553228
50,13,0,"White",17.169497122375,1.7714615822199
51,13,0,"White",17.0913986988003,1.74918422304103
52,13,0,"White",17.0144689476041,1.72301615001009
53,13,0,"White",16.9387151330121,1.69323609514152
54,13,0,"White",16.8641438394415,1.66012279044976
55,13,0,"White",16.7907609715016,1.62395496794922
56,13,0,"White",16.7185717539932,1.58501135965436
57,13,0,"White",16.6475807319092,1.54358145095053
58,13,0,"White",16.5777917704342,1.50028085680141
59,13,0,"White",16.5092080549445,1.4561022322395
60,13,0,"White",16.4418320910083,1.41205923497496
61,13,0,"White",16.3756657043856,1.36916552271793
62,13,0,"White",16.3107100410283,1.32843475317855
63,13,0,"White",16.2468131129591,1.29088058406697
64,13,0,"White",16.1819928029432,1.25751667309335
65,13,0,"White",16.1107598691591,1.22935667796782
66,13,0,"White",16.0239654910783,1.20737083717493
67,13,0,"White",15.9088012694648,1.19174992726112
68,13,0,"White",15.7498365335235,1.18201051103764
69,13,0,"White",15.5404287195309,1.1776469206722
70,13,0,"White",15.2941337494645,1.17815348833252
71,13,0,"White",15.0441530095394,1.18302454618633
72,13,0,"White",14.8258397354672,1.19175442640134
73,13,0,"White",14.6592053977168,1.20383746114528
74,13,0,"White",14.5473293729013,1.21876798258588
75,13,0,"White",14.4772873229171,1.23607495822653
76,13,0,"White",14.4303633654765,1.25568999134814
77,13,0,"White",14.3922622446393,1.27780445024927
78,13,0,"White",14.3538830612155,1.30261403264548
79,13,0,"White",14.3096181366618,1.33031443625233
80,13,0,"White",14.2556518769781,1.36110135878537
81,13,0,"White",14.1898061239707,1.39517049796015
82,13,0,"White",14.1115401552523,1.43271755149221
83,13,0,"White",14.0218739217974,1.47393821709712
84,13,0,"White",13.9225436610523,1.51904573521742
85,13,0,"White",13.8151575100445,1.56839266521206
86,13,0,"White",13.7011187429387,1.62239800376471
87,13,0,"White",13.5816257710361,1.68148115671882
88,13,0,"White",13.457672142775,1.74606152991784
89,13,0,"White",13.3300465437305,1.81655852920523
90,13,0,"White",13.1993327966145,1.89339156042446
91,13,0,"White",13.0659098612759,1.97698002941898
92,13,0,"White",12.9299518347003,2.06774334203224
93,13,0,"White",12.7914279510102,2.16595119017122
94,13,0,"White",12.650102581465,2.27103551100049
95,13,0,"White",12.5055352344611,2.38213700129256
96,13,0,"White",12.3570805555315,2.49839606540987
97,13,0,"White",12.2038883273462,2.6189531077149
98,13,0,"White",12.0449034697121,2.74294853257009
99,13,0,"White",11.8788660395728,2.8695227443379
100,13,0,"White",11.7043112310089,2.9978161473808
101,13,0,"White",11.519569375238,3.12696914606124
21,14,0,"White",19.8856252943289,0.89315952318791
22,14,0,"White",19.7798510477094,0.933819549924378
23,14,0,"White",19.6747390943641,0.974694742919772
24,14,0,"White",19.5703164129563,1.01600026843302
25,14,0,"White",19.4666093023408,1.05795129272305
26,14,0,"White",19.3636433815644,1.10076298204879
27,14,0,"White",19.2614435898656,1.14465050266916
28,14,0,"White",19.1600341866748,1.18982902084309
29,14,0,"White",19.059438751614,1.23651370282951
30,14,0,"White",18.9596801844973,1.28491948353107
31,14,0,"White",18.8607807053305,1.33503086700377
32,14,0,"White",18.7627618543111,1.38616952158508
33,14,0,"White",18.6656444918284,1.43753866120132
34,14,0,"White",18.5694487984637,1.48834149977882
35,14,0,"White",18.4741942749901,1.5377812512439
36,14,0,"White",18.3798997423722,1.5850611295229
37,14,0,"White",18.2865833417667,1.62938434854214
38,14,0,"White",18.1942625345221,1.66995412222795
39,14,0,"White",18.1029541021785,1.70597519386391
40,14,0,"White",18.012674146468,1.73690063611652
41,14,0,"White",17.9234380893145,1.76270426779481
42,14,0,"White",17.8352606728336,1.78342547889976
43,14,0,"White",17.7481559593327,1.79910365943234
44,14,0,"White",17.6621373313112,1.80977819939353
45,14,0,"White",17.5772174914601,1.8154884887843
46,14,0,"White",17.4934084626623,1.81627391760564
47,14,0,"White",17.4107215879925,1.81217387585851
48,14,0,"White",17.3291675307171,1.80322923096373
49,14,0,"White",17.2487562742946,1.78956949553228
50,14,0,"White",17.169497122375,1.7714615822199
51,14,0,"White",17.0913986988003,1.74918422304103
52,14,0,"White",17.0144689476041,1.72301615001009
53,14,0,"White",16.9387151330121,1.69323609514152
54,14,0,"White",16.8641438394415,1.66012279044976
55,14,0,"White",16.7907609715016,1.62395496794922
56,14,0,"White",16.7185717539932,1.58501135965436
57,14,0,"White",16.6475807319092,1.54358145095053
58,14,0,"White",16.5777917704342,1.50028085680141
59,14,0,"White",16.5092080549445,1.4561022322395
60,14,0,"White",16.4418320910083,1.41205923497496
61,14,0,"White",16.3756657043856,1.36916552271793
62,14,0,"White",16.3107100410283,1.32843475317855
63,14,0,"White",16.2468131129591,1.29088058406697
64,14,0,"White",16.1819928029432,1.25751667309335
65,14,0,"White",16.1107598691591,1.22935667796782
66,14,0,"White",16.0239654910783,1.20737083717493
67,14,0,"White",15.9088012694648,1.19174992726112
68,14,0,"White",15.7498365335235,1.18201051103764
69,14,0,"White",15.5404287195309,1.1776469206722
70,14,0,"White",15.2941337494645,1.17815348833252
71,14,0,"White",15.0441530095394,1.18302454618633
72,14,0,"White",14.8258397354672,1.19175442640134
73,14,0,"White",14.6592053977168,1.20383746114528
74,14,0,"White",14.5473293729013,1.21876798258588
75,14,0,"White",14.4772873229171,1.23607495822653
76,14,0,"White",14.4303633654765,1.25568999134814
77,14,0,"White",14.3922622446393,1.27780445024927
78,14,0,"White",14.3538830612155,1.30261403264548
79,14,0,"White",14.3096181366618,1.33031443625233
80,14,0,"White",14.2556518769781,1.36110135878537
81,14,0,"White",14.1898061239707,1.39517049796015
82,14,0,"White",14.1115401552523,1.43271755149221
83,14,0,"White",14.0218739217974,1.47393821709712
84,14,0,"White",13.9225436610523,1.51904573521742
85,14,0,"White",13.8151575100445,1.56839266521206
86,14,0,"White",13.7011187429387,1.62239800376471
87,14,0,"White",13.5816257710361,1.68148115671882
88,14,0,"White",13.457672142775,1.74606152991784
89,14,0,"White",13.3300465437305,1.81655852920523
90,14,0,"White",13.1993327966145,1.89339156042446
91,14,0,"White",13.0659098612759,1.97698002941898
92,14,0,"White",12.9299518347003,2.06774334203224
93,14,0,"White",12.7914279510102,2.16595119017122
94,14,0,"White",12.650102581465,2.27103551100049
95,14,0,"White",12.5055352344611,2.38213700129256
96,14,0,"White",12.3570805555315,2.49839606540987
97,14,0,"White",12.2038883273462,2.6189531077149
98,14,0,"White",12.0449034697121,2.74294853257009
99,14,0,"White",11.8788660395728,2.8695227443379
100,14,0,"White",11.7043112310089,2.9978161473808
101,14,0,"White",11.519569375238,3.12696914606124
21,15,0,"White",19.8856252943289,0.89315952318791
22,15,0,"White",19.7798510477094,0.933819549924378
23,15,0,"White",19.6747390943641,0.974694742919772
24,15,0,"White",19.5703164129563,1.01600026843302
25,15,0,"White",19.4666093023408,1.05795129272305
26,15,0,"White",19.3636433815644,1.10076298204879
27,15,0,"White",19.2614435898656,1.14465050266916
28,15,0,"White",19.1600341866748,1.18982902084309
29,15,0,"White",19.059438751614,1.23651370282951
30,15,0,"White",18.9596801844973,1.28491948353107
31,15,0,"White",18.8607807053305,1.33503086700377
32,15,0,"White",18.7627618543111,1.38616952158508
33,15,0,"White",18.6656444918284,1.43753866120132
34,15,0,"White",18.5694487984637,1.48834149977882
35,15,0,"White",18.4741942749901,1.5377812512439
36,15,0,"White",18.3798997423722,1.5850611295229
37,15,0,"White",18.2865833417667,1.62938434854214
38,15,0,"White",18.1942625345221,1.66995412222795
39,15,0,"White",18.1029541021785,1.70597519386391
40,15,0,"White",18.012674146468,1.73690063611652
41,15,0,"White",17.9234380893145,1.76270426779481
42,15,0,"White",17.8352606728336,1.78342547889976
43,15,0,"White",17.7481559593327,1.79910365943234
44,15,0,"White",17.6621373313112,1.80977819939353
45,15,0,"White",17.5772174914601,1.8154884887843
46,15,0,"White",17.4934084626623,1.81627391760564
47,15,0,"White",17.4107215879925,1.81217387585851
48,15,0,"White",17.3291675307171,1.80322923096373
49,15,0,"White",17.2487562742946,1.78956949553228
50,15,0,"White",17.169497122375,1.7714615822199
51,15,0,"White",17.0913986988003,1.74918422304103
52,15,0,"White",17.0144689476041,1.72301615001009
53,15,0,"White",16.9387151330121,1.69323609514152
54,15,0,"White",16.8641438394415,1.66012279044976
55,15,0,"White",16.7907609715016,1.62395496794922
56,15,0,"White",16.7185717539932,1.58501135965436
57,15,0,"White",16.6475807319092,1.54358145095053
58,15,0,"White",16.5777917704342,1.50028085680141
59,15,0,"White",16.5092080549445,1.4561022322395
60,15,0,"White",16.4418320910083,1.41205923497496
61,15,0,"White",16.3756657043856,1.36916552271793
62,15,0,"White",16.3107100410283,1.32843475317855
63,15,0,"White",16.2468131129591,1.29088058406697
64,15,0,"White",16.1819928029432,1.25751667309335
65,15,0,"White",16.1107598691591,1.22935667796782
66,15,0,"White",16.0239654910783,1.20737083717493
67,15,0,"White",15.9088012694648,1.19174992726112
68,15,0,"White",15.7498365335235,1.18201051103764
69,15,0,"White",15.5404287195309,1.1776469206722
70,15,0,"White",15.2941337494645,1.17815348833252
71,15,0,"White",15.0441530095394,1.18302454618633
72,15,0,"White",14.8258397354672,1.19175442640134
73,15,0,"White",14.6592053977168,1.20383746114528
74,15,0,"White",14.5473293729013,1.21876798258588
75,15,0,"White",14.4772873229171,1.23607495822653
76,15,0,"White",14.4303633654765,1.25568999134814
77,15,0,"White",14.3922622446393,1.27780445024927
78,15,0,"White",14.3538830612155,1.30261403264548
79,15,0,"White",14.3096181366618,1.33031443625233
80,15,0,"White",14.2556518769781,1.36110135878537
81,15,0,"White",14.1898061239707,1.39517049796015
82,15,0,"White",14.1115401552523,1.43271755149221
83,15,0,"White",14.0218739217974,1.47393821709712
84,15,0,"White",13.9225436610523,1.51904573521742
85,15,0,"White",13.8151575100445,1.56839266521206
86,15,0,"White",13.7011187429387,1.62239800376471
87,15,0,"White",13.5816257710361,1.68148115671882
88,15,0,"White",13.457672142775,1.74606152991784
89,15,0,"White",13.3300465437305,1.81655852920523
90,15,0,"White",13.1993327966145,1.89339156042446
91,15,0,"White",13.0659098612759,1.97698002941898
92,15,0,"White",12.9299518347003,2.06774334203224
93,15,0,"White",12.7914279510102,2.16595119017122
94,15,0,"White",12.650102581465,2.27103551100049
95,15,0,"White",12.5055352344611,2.38213700129256
96,15,0,"White",12.3570805555315,2.49839606540987
97,15,0,"White",12.2038883273462,2.6189531077149
98,15,0,"White",12.0449034697121,2.74294853257009
99,15,0,"White",11.8788660395728,2.8695227443379
100,15,0,"White",11.7043112310089,2.9978161473808
101,15,0,"White",11.519569375238,3.12696914606124
21,16,0,"White",19.8856252943289,0.89315952318791
22,16,0,"White",19.7798510477094,0.933819549924378
23,16,0,"White",19.6747390943641,0.974694742919772
24,16,0,"White",19.5703164129563,1.01600026843302
25,16,0,"White",19.4666093023408,1.05795129272305
26,16,0,"White",19.3636433815644,1.10076298204879
27,16,0,"White",19.2614435898656,1.14465050266916
28,16,0,"White",19.1600341866748,1.18982902084309
29,16,0,"White",19.059438751614,1.23651370282951
30,16,0,"White",18.9596801844973,1.28491948353107
31,16,0,"White",18.8607807053305,1.33503086700377
32,16,0,"White",18.7627618543111,1.38616952158508
33,16,0,"White",18.6656444918284,1.43753866120132
34,16,0,"White",18.5694487984637,1.48834149977882
35,16,0,"White",18.4741942749901,1.5377812512439
36,16,0,"White",18.3798997423722,1.5850611295229
37,16,0,"White",18.2865833417667,1.62938434854214
38,16,0,"White",18.1942625345221,1.66995412222795
39,16,0,"White",18.1029541021785,1.70597519386391
40,16,0,"White",18.012674146468,1.73690063611652
41,16,0,"White",17.9234380893145,1.76270426779481
42,16,0,"White",17.8352606728336,1.78342547889976
43,16,0,"White",17.7481559593327,1.79910365943234
44,16,0,"White",17.6621373313112,1.80977819939353
45,16,0,"White",17.5772174914601,1.8154884887843
46,16,0,"White",17.4934084626623,1.81627391760564
47,16,0,"White",17.4107215879925,1.81217387585851
48,16,0,"White",17.3291675307171,1.80322923096373
49,16,0,"White",17.2487562742946,1.78956949553228
50,16,0,"White",17.169497122375,1.7714615822199
51,16,0,"White",17.0913986988003,1.74918422304103
52,16,0,"White",17.0144689476041,1.72301615001009
53,16,0,"White",16.9387151330121,1.69323609514152
54,16,0,"White",16.8641438394415,1.66012279044976
55,16,0,"White",16.7907609715016,1.62395496794922
56,16,0,"White",16.7185717539932,1.58501135965436
57,16,0,"White",16.6475807319092,1.54358145095053
58,16,0,"White",16.5777917704342,1.50028085680141
59,16,0,"White",16.5092080549445,1.4561022322395
60,16,0,"White",16.4418320910083,1.41205923497496
61,16,0,"White",16.3756657043856,1.36916552271793
62,16,0,"White",16.3107100410283,1.32843475317855
63,16,0,"White",16.2468131129591,1.29088058406697
64,16,0,"White",16.1819928029432,1.25751667309335
65,16,0,"White",16.1107598691591,1.22935667796782
66,16,0,"White",16.0239654910783,1.20737083717493
67,16,0,"White",15.9088012694648,1.19174992726112
68,16,0,"White",15.7498365335235,1.18201051103764
69,16,0,"White",15.5404287195309,1.1776469206722
70,16,0,"White",15.2941337494645,1.17815348833252
71,16,0,"White",15.0441530095394,1.18302454618633
72,16,0,"White",14.8258397354672,1.19175442640134
73,16,0,"White",14.6592053977168,1.20383746114528
74,16,0,"White",14.5473293729013,1.21876798258588
75,16,0,"White",14.4772873229171,1.23607495822653
76,16,0,"White",14.4303633654765,1.25568999134814
77,16,0,"White",14.3922622446393,1.27780445024927
78,16,0,"White",14.3538830612155,1.30261403264548
79,16,0,"White",14.3096181366618,1.33031443625233
80,16,0,"White",14.2556518769781,1.36110135878537
81,16,0,"White",14.1898061239707,1.39517049796015
82,16,0,"White",14.1115401552523,1.43271755149221
83,16,0,"White",14.0218739217974,1.47393821709712
84,16,0,"White",13.9225436610523,1.51904573521742
85,16,0,"White",13.8151575100445,1.56839266521206
86,16,0,"White",13.7011187429387,1.62239800376471
87,16,0,"White",13.5816257710361,1.68148115671882
88,16,0,"White",13.457672142775,1.74606152991784
89,16,0,"White",13.3300465437305,1.81655852920523
90,16,0,"White",13.1993327966145,1.89339156042446
91,16,0,"White",13.0659098612759,1.97698002941898
92,16,0,"White",12.9299518347003,2.06774334203224
