"NACCAGE","EDUC","SEX","RACE","mean.adj","sd.adj"
21,10,0,"White",33.762471500208,2.31498531776826
22,10,0,"White",33.6148179065707,2.38659431489071
23,10,0,"White",33.4619045561188,2.45634588353887
24,10,0,"White",33.3044652963759,2.52238259523846
25,10,0,"White",33.1432005290983,2.58284702151519
26,10,0,"White",32.9787772102741,2.63588173389479
27,10,0,"White",32.8118288501243,2.67962930390295
28,10,0,"White",32.6429555131017,2.71223230306541
29,10,0,"White",32.4727238178919,2.73183330290787
30,10,0,"White",32.3016669374127,2.73657596454987
31,10,0,"White",32.1302845988139,2.72568918455889
32,10,0,"White",31.9590430834781,2.70152354580596
33,10,0,"White",31.78837522702,2.6669875031996
34,10,0,"White",31.6186804192867,2.62498951164834
35,10,0,"White",31.4503246043575,2.57843802606071
36,10,0,"White",31.2836402805443,2.53024150134522
37,10,0,"White",31.1189265003911,2.48330839241042
38,10,0,"White",30.9564488706744,2.44054715416481
39,10,0,"White",30.7964395524028,2.40485733620337
40,10,0,"White",30.6390972608174,2.3776924878327
41,10,0,"White",30.4845872653918,2.35747389909414
42,10,0,"White",30.3330413898316,2.3422410447104
43,10,0,"White",30.184558012075,2.3300333994042
44,10,0,"White",30.0392020642924,2.31889043789823
45,10,0,"White",29.8970050328864,2.30685163491522
46,10,0,"White",29.7579649584924,2.29195646517786
47,10,0,"White",29.6220464359776,2.27224440340887
48,10,0,"White",29.4891806144418,2.24577752873089
49,10,0,"White",29.3592651972171,2.21197418426231
50,10,0,"White",29.2321644418681,2.17235492231497
51,10,0,"White",29.1077091601914,2.12862113040011
52,10,0,"White",28.9856967182162,2.08247419602901
53,10,0,"White",28.8658910362039,2.03561550671292
54,10,0,"White",28.7480225886483,1.98974644996311
55,10,0,"White",28.6317884042756,1.94656841329083
56,10,0,"White",28.516852066044,1.90778278420735
57,10,0,"White",28.4028437111446,1.875060197864
58,10,0,"White",28.2893600310003,1.84913862799624
59,10,0,"White",28.1759642712667,1.82967779371965
60,10,0,"White",28.0621862318314,1.81627735094682
61,10,0,"White",27.9475222668148,1.80853695559034
62,10,0,"White",27.8314352845691,1.8060562635628
63,10,0,"White",27.7133007132671,1.8084349307768
64,10,0,"White",27.5918121223682,1.81527261314491
65,10,0,"White",27.464386844085,1.82616896657974
